#,"",Kafka-exactly-once,rate,topics,message_size,message_size_bytes,Kafka-mbps
1,0,32829.568807,0,1,1.0KB,1024,33617478
2,1,21238.115673,0,50,1.0KB,1024,21747830
3,2,7987.743262,0,100,1.0KB,1024,8179449
4,3,7153.977201,0,150,1.0KB,1024,7325673
5,4,5909.604504,0,200,1.0KB,1024,6051435
6,5,1209.795844,1000,1,1.0KB,1024,1238831
7,6,2101.638156,1000,50,1.0KB,1024,2152077
8,7,1674.453983,1000,100,1.0KB,1024,1714641
9,8,1793.854215,1000,150,1.0KB,1024,1836907
10,9,5104.070991,1000,200,1.0KB,1024,5226569
